Bins,CDF values
9.522821,0.873339561615114
9.623062,0.8769898809050707
9.723302,0.8804489944370631
9.823543,0.8837157656856839
9.923782,0.8869368171810637
10.024023,0.8900953773835394
10.124263,0.8932238491980143
10.2245035,0.8960505621923123
10.324743,0.8987185402692991
10.424984,0.9012170130902906
10.525224,0.9036445244636283
10.625464,0.9061393902497483
10.725704,0.9084130029327506
10.825945,0.910614496549322
10.926185,0.9128255878893756
11.026425,0.9149597501883457
11.126665,0.9170097288369544
11.226906,0.9190404894696083
11.327146,0.9210159234400856
11.427386,0.9229601152358236
11.527626,0.9248537905270603
11.627867,0.9266500938930667
11.7281065,0.9283441818202747
11.828347,0.9300623327640652
11.928587,0.9317083273505434
12.028828,0.9333495282170754
12.129067,0.9350099508057725
12.229308,0.9366150813235895
12.329548,0.9381324262236154
12.429789,0.9397026887376745
12.530028,0.9411779519645618
12.630269,0.9425558392854744
12.730509,0.9439024528259093
12.8307495,0.9453019823560509
12.930989,0.9464971018731869
13.03123,0.9476164850283088
13.13147,0.9486973828612115
13.23171,0.9497530417336035
13.33195,0.9507702158900393
13.432191,0.9518006255183308
13.532431,0.9528093833401388
13.632671,0.9538458046932161
13.732911,0.9547403408307908
13.833152,0.9556493136184085
13.933392,0.956537838088392
14.033632,0.9573975147327659
14.133872,0.9581982688559174
14.234113,0.959048326740634
14.3343525,0.9598767345347052
14.434593,0.960605355578748
14.534833,0.9614097167024543
14.635074,0.9621635869905976
14.735313,0.9629126407724645
14.835554,0.9636773321652222
14.935794,0.9643686739382135
15.036035,0.9650852715326845
15.136274,0.9657946483084494
15.236515,0.9665629467360787
15.336755,0.9672675141777706
15.4369955,0.9679949328768561
15.537235,0.968699500318548
15.637476,0.9694257166726764
15.737716,0.9701170584456676
15.837956,0.970807204451081
15.938196,0.9715526512323933
16.038437,0.9722391836713116
16.138678,0.9729569904399055
16.238916,0.9736266902095683
16.339157,0.9743420786529243
16.439398,0.975104358103492
16.539639,0.9758053318825377
16.639877,0.9765579926649595
16.740118,0.977290213777571
16.840359,0.9780188278896278
16.9406,0.9787426464402031
17.040838,0.979520556226508
17.141079,0.9802515750056013
17.24132,0.9809525354467384
17.34156,0.9816667351461434
17.4418,0.9823268162476603
17.54204,0.9829676600128852
17.64228,0.9836036944440371
17.742521,0.9842866328771381
17.84276,0.9849479163121732
17.943,0.9855623087399966
18.043242,0.9861658801661559
18.143482,0.986789903135838
18.243721,0.9873718325586689
18.343962,0.9879104779748429
18.444202,0.9884286837212067
18.544443,0.9889276616256731
18.644682,0.9894109997000079
18.744923,0.9899328124469264
18.845163,0.9904065318531152
18.945404,0.9908694390656925
19.045643,0.9913251234691075
19.145884,0.9917038585273549
19.246124,0.9920837959191204
19.346365,0.992449312263597
19.446604,0.992767930645932
19.546844,0.9930576930238292
19.647085,0.993301766728033
19.747326,0.9935578686404459
19.847565,0.993803144678168
19.947805,0.9940327903801529
20.048046,0.9942624360821378
20.148287,0.9944620272439244
20.248526,0.994641174938143
20.348766,0.9948251319664345
20.449007,0.995023516996945
20.549248,0.9951762162592757
20.649487,0.9953397336177571
20.749727,0.9955068579767932
20.849968,0.9956499356654643
20.950209,0.9957894090074356
21.050447,0.9959252726949974
21.150688,0.9960587317155227
21.250929,0.9961681440656831
21.35117,0.996258320795406
21.451408,0.9963424841416831
21.55165,0.9964266474879603
21.65189,0.9965192271688652
21.75213,0.9966166180369659
21.85237,0.9966911627150971
21.95261,0.9967945633976661
22.05285,0.9968835360780163
22.153091,0.9969845340153058
22.25333,0.9971023627000939
22.35357,0.9971901330469258
22.453812,0.997274296393203
22.554052,0.9973620684101332
22.654291,0.9974510410904833
22.754532,0.9975291927691693
22.854773,0.9975941187791546
22.955013,0.9976710695885181
23.055252,0.9977456142666493
23.155493,0.9978129449436711
23.255733,0.9978778709536564
23.355974,0.997951214693831
23.456213,0.9980281640389986
23.556454,0.9981075180512028
23.656694,0.998186872063407
23.756935,0.9982674299419594
23.857174,0.9983455816206454
23.957415,0.9984201262987765
24.057655,0.9984886593093165
24.157896,0.9985547889111133
24.258135,0.9986173102540621
24.358376,0.9986738199294196
24.458616,0.9987483646075508
24.558857,0.9988156965657439
24.659096,0.9988818249092474
24.759336,0.9989707975895975
24.859577,0.9990477469347652
24.959818,0.9991090671109767
25.060057,0.9991956351242903
25.160297,0.9992785961370493
25.260538,0.9993844014866549
25.360779,0.9994817923547555
25.461018,0.9995888000378794
25.561258,0.9996813797187843
25.661499,0.9997883874019082
25.76174,0.9998881829828015
25.861979,0.9999999999999983
