Bins,Normalized PDF values
-17.622766113280804,0.00015067013968948255
-17.4227661132808,0.0001426800565241312
-17.222766113280798,0.00015523590149825475
-17.022766113280795,0.00014838725878509645
-16.822766113280792,0.00014838725878509645
-16.62276611328079,0.00017692327008992268
-16.422766113280787,0.0002054592813947489
-16.222766113280784,0.0002328538522473821
-16.02276611328078,0.0002648141849087875
-15.822766113280778,0.00024769257812589176
-15.622766113280775,0.00026367274445659447
-15.422766113280773,0.00025910698264782227
-15.22276611328077,0.00026823850626536667
-15.022766113280767,0.00035384654017984535
-14.822766113280764,0.00032645196932721215
-14.622766113280761,0.00038352399193686466
-14.422766113280758,0.00040406992007633956
-14.222766113280755,0.0004303230504767797
-14.022766113280753,0.00046000050223379894
-13.82276611328075,0.0005010923585127488
-13.622766113280747,0.000577568868809683
-13.422766113280744,0.0005969733564969649
-13.222766113280741,0.000622085046445212
-13.022766113280738,0.00073737053211671
-12.822766113280736,0.0007933011142741694
-12.622766113280733,0.0009633757416509338
-12.42276611328073,0.0010056090383820766
-12.222766113280727,0.001013599121547428
-12.022766113280724,0.001060398180087343
-11.822766113280721,0.0011802494275676132
-11.622766113280719,0.0013206466031873583
-11.422766113280716,0.0013217880436395513
-11.222766113280713,0.0014439221720242076
-11.02276611328071,0.0014245176843369258
-10.822766113280707,0.0015957337521658832
-10.622766113280704,0.0015820364667395667
-10.422766113280701,0.0017144435591939604
-10.222766113280699,0.0017464038918553657
-10.022766113280696,0.0018536992943615125
-9.822766113280693,0.0017806471054211573
-9.62276611328069,0.0017315651659768562
-9.422766113280687,0.0018514164134571264
-9.222766113280684,0.0018057587953694044
-9.022766113280682,0.0018400020089351958
-8.822766113280679,0.001844567770743968
-8.622766113280676,0.0017806471054211573
-8.422766113280673,0.0017692327008992268
-8.22276611328067,0.0018959325910926552
-8.022766113280667,0.0018525578539093195
-7.8227661132806645,0.0017920615099430877
-7.622766113280662,0.0019655604586764313
-7.422766113280659,0.002005510874503188
-7.222766113280656,0.0021322107646966166
-7.022766113280653,0.002280598023481713
-6.82276611328065,0.0023410943674479446
-6.6227661132806475,0.0023319628438304
-6.422766113280645,0.00253399780386857
-6.222766113280642,0.0027280426807413886
-6.022766113280639,0.0029129560339966622
-5.822766113280636,0.0030282415196681606
-5.622766113280633,0.0031572242907659752
-5.42276611328063,0.0033330061204037047
-5.222766113280628,0.003611517590738809
-5.022766113280625,0.003700549946009867
-4.822766113280622,0.003933403798257249
-4.622766113280619,0.00443906191857877
-4.422766113280616,0.00454407444018053
-4.222766113280613,0.004951568681613449
-4.0227661132806105,0.005311122424054259
-3.8227661132806077,0.006050775837075356
-3.622766113280605,0.006529039386544243
-3.422766113280602,0.0072995116917745516
-3.222766113280599,0.007974102999020644
-3.0227661132805963,0.008775394196460165
-2.8227661132805935,0.01004581741975103
-2.6227661132805906,0.011297977595806804
-2.4227661132805878,0.013128848081124456
-2.222766113280585,0.015208552585020192
-2.022766113280582,0.017440068669057604
-1.8227661132805792,0.02044091561787313
-1.6227661132805764,0.023680323621197007
-1.4227661132805736,0.027328367306405994
-1.2227661132805707,0.03145695742198825
-1.0227661132805679,0.035126688475788904
-0.822766113280565,0.03890713925345229
-0.6227661132805622,0.04212257700728011
-0.42276611328055935,0.04396029613531092
-0.2227661132805565,0.0447022324292364
-0.022766113280553668,0.04287592770572752
0.17723388671944917,0.039627388178786103
0.377233886719452,0.035429170195620065
0.5772338867194549,0.03169894279785318
0.7772338867194577,0.027755266035526194
0.9772338867194605,0.023799033428225085
1.1772338867194634,0.02022290049150426
1.3772338867194662,0.017312227338411982
1.577233886719469,0.014870686211171049
1.777233886719472,0.012821800599484526
1.9772338867194748,0.011130185849334426
2.1772338867194776,0.009751325783085222
2.3772338867194804,0.008576783557778574
2.5772338867194833,0.007797179728930722
2.777233886719486,0.007098618172188575
2.977233886719489,0.0063555404378109
3.177233886719492,0.0057425869149832325
3.3772338867194946,0.005319112507219611
3.5772338867194975,0.004852263362272654
3.7772338867195003,0.004549781642441495
3.977233886719503,0.004255290005775689
4.177233886719506,0.004048689283928747
4.377233886719509,0.0038386642407252257
